Nombre,Precio,Valoracion,Tienda,Fecha
Portátil HP 15-fd0282ns Intel Core i7-1355U 16GB 1TB SSD Iris Xe Graphics Windows 11 Home Plata,769.0,,PcComponentes,2026-04-17
"Portátil HP OMEN 16-ap0003ns 16"" Ryzen AI 7 350 32GB 1TB SSD RTX 5050 Negro Sombra",1169.0,,PcComponentes,2026-04-17
"Portátil HP HyperX OMEN 15-gb0005ns 15.3"" AMD Ryzen 7 260 24GB 1TB SSD RTX 5060 FreeDOS",1159.0,,PcComponentes,2026-04-17
"ASUS TUF Gaming FA808UM-S8005 AMD Ryzen 7 260/32GB/1TB SSD/RTX 5060/18""",1299.0,,PcComponentes,2026-04-17
"Portátil Acer Aspire Go 15 AG15-72P 15.6"" Intel Core 5 120U 16GB 1TB SSD Intel Graphics Sin sistema operativo",459.0,,PcComponentes,2026-04-17
"Portátil Acer Aspire Go 15 AG15-72P 15.6"" Intel Core 5 120U 16GB 512GB SSD Intel Graphics Sin Sistema Operativo",439.0,,PcComponentes,2026-04-17
"Replay HP EliteBook 840 G7 Intel Core i5-10310U/16GB/256GB SSD/14"" Refurbished",369.0,,PcComponentes,2026-04-17
"Portátil ASUS Vivobook 15 F1504VA-BQ255 15.6"" Intel Core 7 150U 16GB 1TB SSD Quiet Blue Sin SO",649.0,,PcComponentes,2026-04-17
"Apple MacBook Neo 13"" Apple A18 Pro 8GB 256GB SSD GPU 5 núcleos macOS Índigo",699.0,,PcComponentes,2026-04-17
"Portátil ASUS ROG Strix G16 G615JPR-S5003 16"" Intel Core i7-14650HX 32GB 1TB SSD RTX 5070 8GB Eclipse Gray RGB",1799.99,,PcComponentes,2026-04-17
"Portátil Lenovo Legion 5 15IRX10 15.1"" OLED Intel Core i7-14700HX 32GB 1TB SSD RTX 5060",1599.0,,PcComponentes,2026-04-17
"Portátil HP OmniBook 3 17-dk0003ns 17,3"" Intel Core 7 150U 16GB 512GB SSD Intel Graphics Windows 11 Home",769.0,N/A,PcComponentes,2026-04-17
"Lenovo V15 G4 IRU 15,6"" Intel Core i3-1315U 8GB 512GB SSD Full HD Wi-Fi 6 Windows 11",449.0,,PcComponentes,2026-04-17
"HP 15-fd0276ns 15.6"" Intel Core i7-1355U 16GB 1TB SSD FreeDOS Plata",649.0,,PcComponentes,2026-04-17
"Portátil Victus HP 15-fa2006ns Intel Core 7 240H/16GB DDR5/1TB SSD/RTX 5050/15.6"" FHD 144Hz Rosa",999.0,,PcComponentes,2026-04-17
